,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,daily,daily_lower,daily_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
0,2021-01-01,42519.74907391372,-138604.5365208433,402023.43694337655,42519.74907391372,42519.74907391372,-0.029830452063014944,-0.029830452063014944,-0.029830452063014944,1.9531996975057726,1.9531996975057726,1.9531996975057726,-0.06894082635680122,-0.06894082635680122,-0.06894082635680122,2.0519709759255886,2.0519709759255886,2.0519709759255886,0.0,0.0,0.0,125569.31010310336
1,2021-01-11,120992.8437439969,-118401.12355451168,378374.2800816483,120992.8437439969,120992.8437439969,-0.029830452063014944,-0.029830452063014944,-0.029830452063014944,0.24623018297124064,0.24623018297124064,0.24623018297124064,-0.023734506210828274,-0.023734506210828274,-0.023734506210828274,0.2997951412450839,0.2997951412450839,0.2997951412450839,0.0,0.0,0.0,150784.93379729197
2,2021-01-15,152382.08150742104,-142198.20658471168,374428.37854872143,152382.08150742104,152382.08150742104,-0.029830452063014944,-0.029830452063014944,-0.029830452063014944,-0.1948950202933399,-0.1948950202933399,-0.1948950202933399,-0.06894082635675147,-0.06894082635675147,-0.06894082635675147,-0.09612374187357352,-0.09612374187357352,-0.09612374187357352,0.0,0.0,0.0,122683.57263969084
3,2021-01-21,199465.93815255727,-101007.40037632588,401654.51846430806,199465.93815255727,199465.93815255727,-0.029830452063014944,-0.029830452063014944,-0.029830452063014944,-0.23014808877940413,-0.23014808877940413,-0.23014808877940413,0.1069285542384261,0.1069285542384261,0.1069285542384261,-0.3072461909548153,-0.3072461909548153,-0.3072461909548153,0.0,0.0,0.0,153559.2337101554
4,2021-01-30,270091.7231202616,-77320.94233298462,443880.68434235104,270091.7231202616,270091.7231202616,-0.029830452063014944,-0.029830452063014944,-0.029830452063014944,-0.3485155018366578,-0.3485155018366578,-0.3485155018366578,0.0383440917479733,0.0383440917479733,0.0383440917479733,-0.357029141521616,-0.357029141521616,-0.357029141521616,0.0,0.0,0.0,175960.57069507602
5,2021-02-01,285786.34213914233,-119988.07032485223,417155.1256615919,285786.34213914233,285786.34213914233,-0.029830452063014944,-0.029830452063014944,-0.029830452063014944,-0.4447962961462573,-0.4447962961462573,-0.4447962961462573,-0.023734506210609768,-0.023734506210609768,-0.023734506210609768,-0.3912313378726326,-0.3912313378726326,-0.3912313378726326,0.0,0.0,0.0,158669.63566646478
6,2021-02-11,364259.43723354605,-87071.9641646522,452373.31299399125,364259.43723354605,364259.43723354605,-0.029830452063014944,-0.029830452063014944,-0.029830452063014944,-0.5335653626489951,-0.5335653626489951,-0.5335653626489951,0.1069285542384524,0.1069285542384524,0.1069285542384524,-0.6106634648244323,-0.6106634648244323,-0.6106634648244323,0.0,0.0,0.0,169903.21850771017
7,2021-02-14,387801.36642508075,-164014.66987966036,354257.8093275772,387801.36642508075,387801.36642508075,-0.029830452063014944,-0.029830452063014944,-0.029830452063014944,-0.7014779750763724,-0.7014779750763724,-0.7014779750763724,-0.05106767215976245,-0.05106767215976245,-0.05106767215976245,-0.6205798508535949,-0.6205798508535949,-0.6205798508535949,0.0,0.0,0.0,115767.24917336478
8,2021-02-16,403495.98588610394,-85753.98391211696,431755.4191945898,403495.98588610394,403495.98588610394,-0.029830452063014944,-0.029830452063014944,-0.029830452063014944,-0.5850775883857697,-0.5850775883857697,-0.5850775883857697,0.046457890660033946,0.046457890660033946,0.046457890660033946,-0.6017050269827885,-0.6017050269827885,-0.6017050269827885,0.0,0.0,0.0,167419.52754052368
9,2021-02-27,489816.39292173134,67049.86620516698,601815.2933378143,489816.39292173134,489816.39292173134,-0.029830452063014944,-0.029830452063014944,-0.029830452063014944,-0.30105987757812924,-0.30105987757812924,-0.30105987757812924,0.0383440917480313,0.0383440917480313,0.0383440917480313,-0.30957351726314547,-0.30957351726314547,-0.30957351726314547,0.0,0.0,0.0,342352.32963295403
10,2021-03-01,505511.0124562459,97441.36091062828,596189.2332810307,505511.0124562459,505511.0124562459,-0.029830452063014944,-0.029830452063014944,-0.029830452063014944,-0.32831720886569316,-0.32831720886569316,-0.32831720886569316,-0.023734506210574106,-0.023734506210574106,-0.023734506210574106,-0.274752250592104,-0.274752250592104,-0.274752250592104,0.0,0.0,0.0,339543.0477957406
11,2021-03-11,583984.1101288185,136464.06007677614,658551.3922070623,583984.1101288185,583984.1101288185,-0.029830452063014944,-0.029830452063014944,-0.029830452063014944,-0.3247567659874421,-0.3247567659874421,-0.3247567659874421,0.1069285542384547,0.1069285542384547,0.1069285542384547,-0.40185486816288174,-0.40185486816288174,-0.40185486816288174,0.0,0.0,0.0,394331.3191353292
12,2021-03-12,591831.4197796448,-4901.219011155446,533519.6638763525,591831.4197796448,591831.4197796448,-0.029830452063014944,-0.029830452063014944,-0.029830452063014944,-0.5346823363425162,-0.5346823363425162,-0.5346823363425162,-0.06894082635672544,-0.06894082635672544,-0.06894082635672544,-0.4359110579227756,-0.4359110579227756,-0.4359110579227756,0.0,0.0,0.0,275389.6135309559
13,2021-03-16,623220.6583829498,3983.0145870722326,544038.7458144997,623220.6583829498,623220.6583829498,-0.029830452063014944,-0.029830452063014944,-0.029830452063014944,-0.561843703274065,-0.561843703274065,-0.561843703274065,0.04645789065996912,0.04645789065996912,0.04645789065996912,-0.5784711418710191,-0.5784711418710191,-0.5784711418710191,0.0,0.0,0.0,273068.05572017236
14,2021-03-28,717388.3745730957,-164709.87446326806,353340.0964541758,717388.3745730957,717388.3745730957,-0.029830452063014944,-0.029830452063014944,-0.029830452063014944,-0.8652448205399136,-0.8652448205399136,-0.8652448205399136,-0.051067672160114354,-0.051067672160114354,-0.051067672160114354,-0.7843466963167842,-0.7843466963167842,-0.7843466963167842,0.0,0.0,0.0,96671.79915817721
15,2021-03-29,725235.6844194535,-116953.77771262989,369555.58436692046,725235.6844194535,725235.6844194535,-0.029830452063014944,-0.029830452063014944,-0.029830452063014944,-0.8356193098896169,-0.8356193098896169,-0.8356193098896169,-0.023734506210538436,-0.023734506210538436,-0.023734506210538436,-0.7820543516160634,-0.7820543516160634,-0.7820543516160634,0.0,0.0,0.0,119214.7422975458
16,2021-03-30,733082.994333367,-83674.61958597897,447095.50629406254,733082.994333367,733082.994333367,-0.029830452063014944,-0.029830452063014944,-0.029830452063014944,-0.761310543989433,-0.761310543989433,-0.761310543989433,0.04645789066022213,0.04645789066022213,0.04645789066022213,-0.77793798258664,-0.77793798258664,-0.77793798258664,0.0,0.0,0.0,174979.18112802895
17,2021-04-01,748777.6145086909,-34344.17935162026,498959.99244510406,748777.6145086909,748777.6145086909,-0.029830452063014944,-0.029830452063014944,-0.029830452063014944,-0.6887516686378533,-0.6887516686378533,-0.6887516686378533,0.1069285542384199,0.1069285542384199,0.1069285542384199,-0.7658497708132582,-0.7658497708132582,-0.7658497708132582,0.0,0.0,0.0,233055.78307715876
18,2021-04-11,827250.7153853108,-79773.53370427113,440468.7068301483,827250.7153853108,827250.7153853108,-0.029830452063014944,-0.029830452063014944,-0.029830452063014944,-0.783292277473988,-0.783292277473988,-0.783292277473988,-0.05106767216041132,-0.05106767216041132,-0.05106767216041132,-0.7023941532505616,-0.7023941532505616,-0.7023941532505616,0.0,0.0,0.0,179271.61848916486
19,2021-04-15,858639.9559048663,82073.7925504641,579435.2030649079,858639.9559048663,858639.9559048663,-0.029830452063014944,-0.029830452063014944,-0.029830452063014944,-0.606809764609475,-0.606809764609475,-0.606809764609475,0.10692855423840464,0.10692855423840464,0.10692855423840464,-0.6839078667848646,-0.6839078667848646,-0.6839078667848646,0.0,0.0,0.0,337608.8463779444
