,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,daily,daily_lower,daily_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
0,2021-01-01,-1999053.9278462057,87871.53500360606,111298.96853133499,-1999053.9278462057,-1999053.9278462057,-7.363118703394031,-7.363118703394031,-7.363118703394031,-1.0500192282830696,-1.0500192282830696,-1.0500192282830696,-0.02973986436688954,-0.02973986436688954,-0.02973986436688954,6.342839339477853,6.342839339477853,6.342839339477853,0.0,0.0,0.0,99991.1347671063
1,2021-01-15,-812416.5516292487,137618.34107268575,162490.4391820461,-812416.5516292487,-812416.5516292487,-7.363118703394031,-7.363118703394031,-7.363118703394031,-1.1845863903626235,-1.1845863903626235,-1.1845863903626235,-0.029739864366913372,-0.029739864366913372,-0.029739864366913372,6.208272177398321,6.208272177398321,6.208272177398321,0.0,0.0,0.0,149961.03873609295
2,2021-01-30,458980.6385053994,152168.99775336357,175584.87979103476,458980.6385053994,458980.6385053994,-7.363118703394031,-7.363118703394031,-7.363118703394031,-0.6444892992560085,-0.6444892992560085,-0.6444892992560085,-0.01605132434524508,-0.01605132434524508,-0.01605132434524508,6.734680728483268,6.734680728483268,6.734680728483268,0.0,0.0,0.0,163172.52842297917
3,2021-02-01,628500.2638296925,263759.07848626154,287998.32360091194,628500.2638296925,628500.2638296925,-7.363118703394031,-7.363118703394031,-7.363118703394031,-0.5604511090113569,-0.5604511090113569,-0.5604511090113569,-0.01253080044681094,-0.01253080044681094,-0.01253080044681094,6.815198394829486,6.815198394829486,6.815198394829486,0.0,0.0,0.0,276256.59395241097
4,2021-02-16,1899897.4546215304,272611.1877032903,296214.77271819673,1899897.4546215304,1899897.4546215304,-7.363118703394031,-7.363118703394031,-7.363118703394031,-0.8507226303378149,-0.8507226303378149,-0.8507226303378149,0.003527747149538865,0.003527747149538865,0.003527747149538865,6.508868325906678,6.508868325906678,6.508868325906678,0.0,0.0,0.0,283611.6946537827
5,2021-02-27,2832255.3943271195,335964.7250555446,359524.9753151315,2832255.3943271195,2832255.3943271195,-7.363118703394031,-7.363118703394031,-7.363118703394031,-0.8771654489947471,-0.8771654489947471,-0.8771654489947471,-0.016051324345287915,-0.016051324345287915,-0.016051324345287915,6.5020045787445735,6.5020045787445735,6.5020045787445735,0.0,0.0,0.0,347898.81969437713
6,2021-03-01,3001775.02005344,430225.9910588604,455104.127305144,3001775.02005344,3001775.02005344,-7.363118703394031,-7.363118703394031,-7.363118703394031,-0.8525701802350305,-0.8525701802350305,-0.8525701802350305,-0.012530800446804885,-0.012530800446804885,-0.012530800446804885,6.523079323605805,6.523079323605805,6.523079323605805,0.0,0.0,0.0,442551.1501814663
7,2021-03-12,3934132.961420763,442933.4371819456,466213.89160802326,3934132.961420763,3934132.961420763,-7.363118703394031,-7.363118703394031,-7.363118703394031,-0.8843961859909035,-0.8843961859909035,-0.8843961859909035,-0.0297398643668874,-0.0297398643668874,-0.0297398643668874,6.5084623817700145,6.5084623817700145,6.5084623817700145,0.0,0.0,0.0,454800.77515914175
8,2021-03-16,4273172.21270021,460811.44866710366,483511.3751938291,4273172.21270021,4273172.21270021,-7.363118703394031,-7.363118703394031,-7.363118703394031,-0.8894077480107578,-0.8894077480107578,-0.8894077480107578,0.003527747149490582,0.003527747149490582,0.003527747149490582,6.470183208233783,6.470183208233783,6.470183208233783,0.0,0.0,0.0,472579.73814036907
9,2021-03-28,5290289.966035658,488176.64239417895,512526.02294063114,5290289.966035658,5290289.966035658,-7.363118703394031,-7.363118703394031,-7.363118703394031,-0.9054900347185448,-0.9054900347185448,-0.9054900347185448,0.004290427827293719,0.004290427827293719,0.004290427827293719,6.4533382408481925,6.4533382408481925,6.4533382408481925,0.0,0.0,0.0,499985.1210188606
10,2021-03-30,5459809.591531184,535600.8636757637,558946.0041965493,5459809.591531184,5459809.591531184,-7.363118703394031,-7.363118703394031,-7.363118703394031,-0.8997256803734875,-0.8997256803734875,-0.8997256803734875,0.003527747149545349,0.003527747149545349,0.003527747149545349,6.459865275870999,6.459865275870999,6.459865275870999,0.0,0.0,0.0,547478.6920810963
11,2021-04-01,5629329.216955407,580706.4540743869,605104.5037948192,5629329.216955407,5629329.216955407,-7.363118703394031,-7.363118703394031,-7.363118703394031,-0.8946829381944087,-0.8946829381944087,-0.8946829381944087,0.0033565581578115285,0.0033565581578115285,0.0033565581578115285,6.465079207041811,6.465079207041811,6.465079207041811,0.0,0.0,0.0,592864.4130661135
12,2021-04-15,6815966.595705768,662048.5897752135,685756.6307228986,6815966.595705768,6815966.595705768,-7.363118703394031,-7.363118703394031,-7.363118703394031,-0.9011338227168031,-0.9011338227168031,-0.9011338227168031,0.0033565581579626594,0.0033565581579626594,0.0033565581579626594,6.458628322519266,6.458628322519266,6.458628322519266,0.0,0.0,0.0,673868.5618073946
13,2021-04-30,8087363.788218739,670871.717571274,693771.8067524786,8087363.788218739,8087363.788218739,-7.363118703394031,-7.363118703394031,-7.363118703394031,-0.9155919563399381,-0.9155919563399381,-0.9155919563399381,-0.029739864366890544,-0.029739864366890544,-0.029739864366890544,6.477266611420984,6.477266611420984,6.477266611420984,0.0,0.0,0.0,682638.5557307713
14,2021-05-01,8172123.6010203855,771673.7486289358,795531.712121829,8172123.6010203855,8172123.6010203855,-7.363118703394031,-7.363118703394031,-7.363118703394031,-0.9040203208109645,-0.9040203208109645,-0.9040203208109645,-0.0160513243453398,-0.0160513243453398,-0.0160513243453398,6.4751497069284065,6.4751497069284065,6.4751497069284065,0.0,0.0,0.0,784357.801519082
15,2021-05-11,9019721.72899192,779495.7519606885,802681.4723877298,9019721.72899192,9019721.72899192,-7.363118703394031,-7.363118703394031,-7.363118703394031,-0.9123599453154672,-0.9123599453154672,-0.9123599453154672,0.0035277471496070424,0.0035277471496070424,0.0035277471496070424,6.447231010928959,6.447231010928959,6.447231010928959,0.0,0.0,0.0,790488.905568121
16,2021-05-13,9189241.354571821,802224.8369763073,825698.3435177419,9189241.354571821,9189241.354571821,-7.363118703394031,-7.363118703394031,-7.363118703394031,-0.9114242050708744,-0.9114242050708744,-0.9114242050708744,0.0033565581580281088,0.0033565581580281088,0.0033565581580281088,6.44833794016513,6.44833794016513,6.44833794016513,0.0,0.0,0.0,813944.3577767939
17,2021-05-17,9528280.605896357,798741.603125205,822022.044749688,9528280.605896357,9528280.605896357,-7.363118703394031,-7.363118703394031,-7.363118703394031,-0.9149050745168986,-0.9149050745168986,-0.9149050745168986,-0.012530800446822811,-0.012530800446822811,-0.012530800446822811,6.460744429323955,6.460744429323955,6.460744429323955,0.0,0.0,0.0,810808.3281408306
18,2021-05-31,10714917.986139292,826616.0173290304,849858.7775799767,10714917.986139292,10714917.986139292,-7.363118703394031,-7.363118703394031,-7.363118703394031,-0.9217488728392649,-0.9217488728392649,-0.9217488728392649,-0.012530800446818613,-0.012530800446818613,-0.012530800446818613,6.453900631001584,6.453900631001584,6.453900631001584,0.0,0.0,0.0,838454.4098502336
19,2021-06-01,10799677.799027907,910823.9495278703,935133.3051999051,10799677.799027907,10799677.799027907,-7.363118703394031,-7.363118703394031,-7.363118703394031,-0.9145518203531949,-0.9145518203531949,-0.9145518203531949,0.003527747149503777,0.003527747149503777,0.003527747149503777,6.445039135891334,6.445039135891334,6.445039135891334,0.0,0.0,0.0,922812.8086989489
20,2021-06-09,11477756.301909199,923334.1438902941,946448.5630714915,11477756.301909199,11477756.301909199,-7.363118703394031,-7.363118703394031,-7.363118703394031,-0.9185398908586767,-0.9185398908586767,-0.9185398908586767,0.04714725602424954,0.04714725602424954,0.04714725602424954,6.397431556511107,6.397431556511107,6.397431556511107,0.0,0.0,0.0,934979.2810510346
21,2021-06-15,11986315.179070171,943989.27333275,967168.2452451609,11986315.179070171,11986315.179070171,-7.363118703394031,-7.363118703394031,-7.363118703394031,-0.9203311655484312,-0.9203311655484312,-0.9203311655484312,0.0035277471495585434,0.0035277471495585434,0.0035277471495585434,6.439259790696042,6.439259790696042,6.439259790696042,0.0,0.0,0.0,954935.7596856677
22,2021-06-29,13172952.559112433,963038.3861817445,987212.3421116964,13172952.559112433,13172952.559112433,-7.363118703394031,-7.363118703394031,-7.363118703394031,-0.9259711781210405,-0.9259711781210405,-0.9259711781210405,0.0035277471494278905,0.0035277471494278905,0.0035277471494278905,6.433619778123563,6.433619778123563,6.433619778123563,0.0,0.0,0.0,975178.1586185185
23,2021-07-01,13342472.184832757,1062963.838252132,1087132.6945437363,13342472.184832757,13342472.184832757,-7.363118703394031,-7.363118703394031,-7.363118703394031,-0.9194437925358709,-0.9194437925358709,-0.9194437925358709,0.003356558157965041,0.003356558157965041,0.003356558157965041,6.440318352700195,6.440318352700195,6.440318352700195,0.0,0.0,0.0,1074818.957405759
24,2021-08-01,15970026.38349777,1163155.614264453,1186784.3502652536,15970026.38349777,15970026.38349777,-7.363118703394031,-7.363118703394031,-7.363118703394031,-0.9264262099032143,-0.9264262099032143,-0.9264262099032143,0.004290427827279907,0.004290427827279907,0.004290427827279907,6.432402065663537,6.432402065663537,6.432402065663537,0.0,0.0,0.0,1174975.368979594
25,2021-08-02,16054786.196357936,-26277861.623484742,-26254195.052461818,16054786.196357936,16054786.196357936,-7.363118703394031,-7.363118703394031,-7.363118703394031,-2.6360331420516947,-2.6360331420516947,-2.6360331420516947,-0.012530800446768083,-0.012530800446768083,-0.012530800446768083,4.739616361789105,4.739616361789105,4.739616361789105,0.0,0.0,0.0,-26266162.30579565
26,2021-08-03,16139546.0092181,-57709935.92357033,-57686277.539885744,16139546.0092181,16139546.0092181,-7.363118703394031,-7.363118703394031,-7.363118703394031,-4.57493990593676,-4.57493990593676,-4.57493990593676,0.0035277471496200164,0.0035277471496200164,0.0035277471496200164,2.784651050307651,2.784651050307651,2.784651050307651,0.0,0.0,0.0,-57697907.09205616
27,2021-08-04,16224305.822078256,-93303813.57058144,-93279937.50705111,16224305.82206581,16224305.822079264,-7.363118703394031,-7.363118703394031,-7.363118703394031,-6.7501449902301776,-6.7501449902301776,-6.7501449902301776,0.04714725602427028,0.04714725602427028,0.04714725602427028,0.5658264571395835,0.5658264571395835,0.5658264571395835,0.0,0.0,0.0,-93292110.84278558
28,2021-08-05,16309065.634938419,-134950249.87294856,-134925642.06893304,16309065.634868883,16309065.634987667,-7.363118703394031,-7.363118703394031,-7.363118703394031,-9.273786436567095,-9.273786436567095,-9.273786436567095,0.0033565581579842116,0.0033565581579842116,0.0033565581579842116,-1.9140242913310472,-1.9140242913310472,-1.9140242913310472,0.0,0.0,0.0,-134937726.043436
29,2021-08-06,16393825.447798584,-181000278.01764154,-180977638.15089622,16393825.447662652,16393825.447905567,-7.363118703394031,-7.363118703394031,-7.363118703394031,-12.040076659050314,-12.040076659050314,-12.040076659050314,-0.029739864366895026,-0.029739864366895026,-0.029739864366895026,-4.647218091289387,-4.647218091289387,-4.647218091289387,0.0,0.0,0.0,-180989089.67878622
30,2021-08-07,16478585.260658745,-230713692.3515209,-230690170.42722562,16478585.260444738,16478585.260823779,-7.363118703394031,-7.363118703394031,-7.363118703394031,-15.000131189014889,-15.000131189014889,-15.000131189014889,-0.01605132434525466,-0.01605132434525466,-0.01605132434525466,-7.620961161275602,-7.620961161275602,-7.620961161275602,0.0,0.0,0.0,-230702355.45858952
31,2021-08-08,16563345.073518904,-284503987.9857525,-284480793.3546752,16563345.073210897,16563345.073758954,-7.363118703394031,-7.363118703394031,-7.363118703394031,-18.176004176279555,-18.176004176279555,-18.176004176279555,0.004290427827302297,0.004290427827302297,0.004290427827302297,-10.817175900712828,-10.817175900712828,-10.817175900712828,0.0,0.0,0.0,-284492084.1559201
32,2021-08-09,16648104.886379069,-342763682.8555711,-342740869.3237185,16648104.885919033,16648104.886713615,-7.363118703394031,-7.363118703394031,-7.363118703394031,-21.5880745466969,-21.5880745466969,-21.5880745466969,-0.01253080044680231,-0.01253080044680231,-0.01253080044680231,-14.212425042856072,-14.212425042856072,-14.212425042856072,0.0,0.0,0.0,-342752424.4620012
33,2021-08-10,16732864.699239228,-403901770.9795681,-403878562.82974523,16732864.698669158,16732864.699654512,-7.363118703394031,-7.363118703394031,-7.363118703394031,-25.137532138998125,-25.137532138998125,-25.137532138998125,0.0035277471494619766,0.0035277471494619766,0.0035277471494619766,-17.77794118275356,-17.77794118275356,-17.77794118275356,0.0,0.0,0.0,-403890059.4553941
34,2021-08-11,16817624.512099393,-467470194.2490719,-467445843.6252781,16817624.511419144,16817624.512625117,-7.363118703394031,-7.363118703394031,-7.363118703394031,-28.79573927084728,-28.79573927084728,-28.79573927084728,0.04714725602426381,0.04714725602426381,0.04714725602426381,-21.47976782347752,-21.47976782347752,-21.47976782347752,0.0,0.0,0.0,-467458306.09332496
35,2021-08-12,16902384.324959554,-534782561.7185958,-534759085.57172114,16902384.324159853,16902384.32558379,-7.363118703394031,-7.363118703394031,-7.363118703394031,-32.63877804221251,-32.63877804221251,-32.63877804221251,0.0033565581579413726,0.0033565581579413726,0.0033565581579413726,-25.279015896976418,-25.279015896976418,-25.279015896976418,0.0,0.0,0.0,-534770786.0415672
36,2021-08-13,16987144.13781971,-603481670.9590743,-603458941.0623267,16987144.1368769,16987144.138554465,-7.363118703394031,-7.363118703394031,-7.363118703394031,-36.525095888227355,-36.525095888227355,-36.525095888227355,-0.029739864366906944,-0.029739864366906944,-0.029739864366906944,-29.132237320466423,-29.132237320466423,-29.132237320466423,0.0,0.0,0.0,-603469924.3631845
