,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,daily,daily_lower,daily_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
0,2021-06-01,683913.8301432614,995899.9998946436,995900.0000923254,683913.8301432614,683913.8301432614,0.9047117247838607,0.9047117247838607,0.9047117247838607,0.456177600313465,0.456177600313465,0.456177600313465,-0.013213735892200106,-0.013213735892200106,-0.013213735892200106,-0.43532038857819594,-0.43532038857819594,-0.43532038857819594,0.0,0.0,0.0,995899.999999205
1,2021-06-02,681474.9399828959,991799.9998928871,991800.0001007611,681474.9399828959,681474.9399828959,0.9047117247836804,0.9047117247836804,0.9047117247836804,0.4553726656836343,0.4553726656836343,0.4553726656836343,-0.023947782421522096,-0.023947782421522096,-0.023947782421522096,-0.4253912766785244,-0.4253912766785244,-0.4253912766785244,0.0,0.0,0.0,991799.9999995019
2,2021-06-03,672806.2259379178,979799.9998920816,979800.0001039362,672806.2259379178,672806.2259379178,0.9047117247838239,0.9047117247838239,0.9047117247838239,0.4562885452402192,0.4562885452402192,0.4562885452402192,-0.00813874542187562,-0.00813874542187562,-0.00813874542187562,-0.44028443412172874,-0.44028443412172874,-0.44028443412172874,0.0,0.0,0.0,979799.9999996925
3,2021-06-04,662110.1670613562,949799.9998957698,949800.0001112984,662110.1670613562,662110.1670613562,0.9047117247836431,0.9047117247836431,0.9047117247836431,0.43450447863515684,0.43450447863515684,0.43450447863515684,0.002513967112676835,0.002513967112676835,0.002513967112676835,-0.47272121326116345,-0.47272121326116345,-0.47272121326116345,0.0,0.0,0.0,949799.9999993874
4,2021-06-05,656453.4965502019,922799.9998960355,922800.0001024639,656453.4965502019,656453.4965502019,0.9047117247838186,0.9047117247838186,0.9047117247838186,0.40573552406794366,0.40573552406794366,0.40573552406794366,0.017405260018956197,0.017405260018956197,0.017405260018956197,-0.5163814607348308,-0.5163814607348308,-0.5163814607348308,0.0,0.0,0.0,922799.9999992321
5,2021-06-06,669307.4641146712,914399.999899897,914400.0001065596,669307.4641146712,669307.4641146712,0.9047117247836383,0.9047117247836383,0.9047117247836383,0.3661882602920665,0.3661882602920665,0.3661882602920665,0.027521308927600813,0.027521308927600813,0.027521308927600813,-0.5660447734191723,-0.5660447734191723,-0.5660447734191723,0.0,0.0,0.0,914399.9999993175
6,2021-06-07,694101.3337087057,891849.9999072085,891850.0001069696,694101.3337087057,694101.3337087057,0.9047117247837808,0.9047117247837808,0.9047117247837808,0.2848988421247316,0.2848988421247316,0.2848988421247316,-0.0021402723235688496,-0.0021402723235688496,-0.0021402723235688496,-0.6176726103354804,-0.6176726103354804,-0.6176726103354804,0.0,0.0,0.0,891849.999999548
7,2021-06-08,722077.8066082962,883149.9998913516,883150.000104095,722077.8066082962,722077.8066082962,0.9047117247836329,0.9047117247836329,0.9047117247836329,0.2230676416267543,0.2230676416267543,0.2230676416267543,-0.01321373589221074,-0.01321373589221074,-0.01321373589221074,-0.6684303472646674,-0.6684303472646674,-0.6684303472646674,0.0,0.0,0.0,883149.9999994284
8,2021-06-09,750055.8454050132,873149.9998906535,873150.0001114064,750055.8454050132,750055.8454050132,0.9047117247837759,0.9047117247837759,0.9047117247837759,0.16411331949184538,0.16411331949184538,0.16411331949184538,-0.02394778242153537,-0.02394778242153537,-0.02394778242153537,-0.7166506228703952,-0.7166506228703952,-0.7166506228703952,0.0,0.0,0.0,873149.9999986923
9,2021-06-10,766475.0426404973,869819.9998959145,869820.0000993613,766475.0426404973,766475.0426404973,0.9047117247835956,0.9047117247835956,0.9047117247835956,0.1348314708372873,0.1348314708372873,0.1348314708372873,-0.00813874542190969,-0.00813874542190969,-0.00813874542190969,-0.7617415085243984,-0.7617415085243984,-0.7617415085243984,0.0,0.0,0.0,869819.9999997881
10,2021-06-11,779400.9249894108,859819.9999005403,859820.00010499,779400.9249894108,779400.9249894108,0.9047117247837382,0.9047117247837382,0.9047117247837382,0.10318062557037466,0.10318062557037466,0.10318062557037466,0.0025139671126592046,0.0025139671126592046,0.0025139671126592046,-0.804045066326023,-0.804045066326023,-0.804045066326023,0.0,0.0,0.0,859819.9999999468
11,2021-06-12,792528.1442394088,853919.9998984803,853920.0001016293,792528.1442394088,792528.1442394088,0.9047117247835903,0.9047117247835903,0.9047117247835903,0.07746331307826693,0.07746331307826693,0.07746331307826693,0.017405260018924496,0.017405260018924496,0.017405260018924496,-0.844653671724248,-0.844653671724248,-0.844653671724248,0.0,0.0,0.0,853919.999999964
12,2021-06-13,804095.3362426693,841919.9998913994,841920.0001037547,804095.3362426693,804095.3362426693,0.9047117247837333,0.9047117247837333,0.9047117247837333,0.047040023803391895,0.047040023803391895,0.047040023803391895,0.027521308927599276,0.027521308927599276,0.027521308927599276,-0.8851930099079406,-0.8851930099079406,-0.8851930099079406,0.0,0.0,0.0,841919.9999997208
13,2021-06-14,847721.8658645692,826519.9998952782,826520.000100122,847721.8658645692,847721.8658645692,0.9047117247835526,0.9047117247835526,0.9047117247835526,-0.02501040343448757,-0.02501040343448757,-0.02501040343448757,-0.0021402723235904374,-0.0021402723235904374,-0.0021402723235904374,-0.9275818558944503,-0.9275818558944503,-0.9275818558944503,0.0,0.0,0.0,826519.9999990597
14,2021-06-15,893977.9255738127,820419.9998945578,820420.0001068054,893977.9255738127,893977.9255738127,0.9047117247837275,0.9047117247837275,0.9047117247837275,-0.08228159048466299,-0.08228159048466299,-0.08228159048466299,-0.013213735892221374,-0.013213735892221374,-0.013213735892221374,-0.9737795793761694,-0.9737795793761694,-0.9737795793761694,0.0,0.0,0.0,820419.9999994197
15,2021-06-17,1004897.8838575685,816419.9999014466,816420.0001071178,1004897.8838575685,1004897.8838575685,0.9047117247836907,0.9047117247836907,0.9047117247836907,-0.18755924048208494,-0.18755924048208494,-0.18755924048208494,-0.008138745421919037,-0.008138745421919037,-0.008138745421919037,-1.0841322198438565,-1.0841322198438565,-1.0841322198438565,0.0,0.0,0.0,816419.9999991886
16,2021-06-18,1076992.6409441016,815319.9998960516,815320.0001021901,1076992.6409441016,1076992.6409441016,0.9047117247838656,0.9047117247838656,0.9047117247838656,-0.24296604358897445,-0.24296604358897445,-0.24296604358897445,0.0025139671126144848,0.0025139671126144848,0.0025139671126144848,-1.1501917354854545,-1.1501917354854545,-1.1501917354854545,0.0,0.0,0.0,815319.9999994723
17,2021-06-19,1149087.398030635,802819.9999025489,802820.0001001371,1149087.398030635,1149087.398030635,0.9047117247836858,0.9047117247836858,0.9047117247836858,-0.301341219670926,-0.301341219670926,-0.301341219670926,0.01740526001896191,0.01740526001896191,0.01740526001896191,-1.2234582044735731,-1.2234582044735731,-1.2234582044735731,0.0,0.0,0.0,802819.9999995927
18,2021-06-20,1221182.1551171679,768819.999896746,768820.0001012547,1221182.1551171679,1221182.1551171679,0.9047117247838283,0.9047117247838283,0.9047117247838283,-0.3704297128991083,-0.3704297128991083,-0.3704297128991083,0.027521308927573634,0.027521308927573634,0.027521308927573634,-1.3026627466105098,-1.3026627466105098,-1.3026627466105098,0.0,0.0,0.0,768819.999999601
19,2021-06-21,1293276.9122037007,668819.9998956156,668820.0001023867,1293276.9122037007,1293276.9122037007,0.9047117247836476,0.9047117247836476,0.9047117247836476,-0.48284857350469923,-0.48284857350469923,-0.48284857350469923,-0.0021402723236120243,-0.0021402723236120243,-0.0021402723236120243,-1.3854200259647353,-1.3854200259647353,-1.3854200259647353,0.0,0.0,0.0,668819.9999995817
20,2021-06-29,1870034.968895965,662219.9999011166,662220.0001012571,1870034.968895965,1870034.968895965,0.9047117247835952,0.9047117247835952,0.9047117247835952,-0.6458782798114607,-0.6458782798114607,-0.6458782798114607,-0.01321373589219424,-0.01321373589219424,-0.01321373589219424,-1.5373762687028616,-1.5373762687028616,-1.5373762687028616,0.0,0.0,0.0,662219.9999981606
21,2021-06-30,1942129.7259824981,965205.0323073757,968369.7966866944,1939026.1594317956,1945383.93947267,0.9047117247837382,0.9047117247837382,0.9047117247837382,-0.5022217583451234,-0.5022217583451234,-0.5022217583451234,-0.023947782421528216,-0.023947782421528216,-0.023947782421528216,-1.382985700707333,-1.382985700707333,-1.382985700707333,0.0,0.0,0.0,966749.9200652352
22,2021-07-01,2014224.483069031,1465567.8780180078,1484904.6359461653,2001880.4159958626,2028293.3019695224,0.9047117247835574,0.9047117247835574,0.9047117247835574,-0.26790438318009246,-0.26790438318009246,-0.26790438318009246,-0.008138745421918744,-0.008138745421918744,-0.008138745421918744,-1.1644773625417313,-1.1644773625417313,-1.1644773625417313,0.0,0.0,0.0,1474604.9153461817
23,2021-07-02,2086319.2401555642,2126157.23593752,2179022.9328715587,2061562.5963039019,2112822.1841680794,0.9047117247837324,0.9047117247837324,0.9047117247837324,0.03133285384590501,0.03133285384590501,0.03133285384590501,0.002513967112655562,0.002513967112655562,0.002513967112655562,-0.8758928380504832,-0.8758928380504832,-0.8758928380504832,0.0,0.0,0.0,2151689.575983258
24,2021-07-03,2158413.997242097,2988962.897907722,3104149.4519035676,2120732.3503111703,2202459.6450033537,0.9047117247838754,0.9047117247838754,0.9047117247838754,0.4094012841458836,0.4094012841458836,0.4094012841458836,0.017405260018943124,0.017405260018943124,0.017405260018943124,-0.5127157006569348,-0.5127157006569348,-0.5127157006569348,0.0,0.0,0.0,3042071.459431461
25,2021-07-04,2230508.7543286304,4044961.298150302,4260641.237586639,2174652.4092670633,2290606.275169136,0.9047117247836951,0.9047117247836951,0.9047117247836951,0.8600495788955822,0.8600495788955822,0.8600495788955822,0.027521308927570563,0.027521308927570563,0.027521308927570563,-0.07218345481568408,-0.07218345481568408,-0.07218345481568408,0.0,0.0,0.0,4148856.8692118786
26,2021-07-05,2302603.511415163,5235392.706650196,5602583.325272323,2228765.186897812,2385082.3370588203,0.9047117247838701,0.9047117247838701,0.9047117247838701,1.3490104464444537,1.3490104464444537,1.3490104464444537,-0.002140272323538561,-0.002140272323538561,-0.002140272323538561,0.44643899398412223,0.44643899398412223,0.44643899398412223,0.0,0.0,0.0,5408839.702333899
27,2021-07-06,2374698.268501696,6680611.638220832,7277610.118368644,2277636.0696169855,2481172.114666838,0.9047117247836902,0.9047117247836902,0.9047117247836902,1.9331339310272697,1.9331339310272697,1.9331339310272697,-0.013213735892196769,-0.013213735892196769,-0.013213735892196769,1.0416359421357761,1.0416359421357761,1.0416359421357761,0.0,0.0,0.0,6965308.067294031
28,2021-07-07,2446793.0255882293,8344149.701423858,9262290.689981708,2324119.139445156,2579851.493264786,0.9047117247838332,0.9047117247838332,0.9047117247838332,2.590241808141608,2.590241808141608,2.590241808141608,-0.023947782421518002,-0.023947782421518002,-0.023947782421518002,1.7094778657792933,1.7094778657792933,1.7094778657792933,0.0,0.0,0.0,8784578.61633616
29,2021-07-08,2518887.782674762,10253692.757072685,11616668.671515262,2362547.373738772,2676589.860044221,0.9047117247836529,0.9047117247836529,0.9047117247836529,3.3401003810632335,3.3401003810632335,3.3401003810632335,-0.008138745421918595,-0.008138745421918595,-0.008138745421918595,2.4435274017014996,2.4435274017014996,2.4435274017014996,0.0,0.0,0.0,10932225.825442258
30,2021-07-09,2590982.5397612955,12355490.435472874,14320259.471656414,2402835.150619245,2784933.7915466153,0.9047117247838279,0.9047117247838279,0.9047117247838279,4.1420466494313075,4.1420466494313075,4.1420466494313075,0.002513967112637929,0.002513967112637929,0.002513967112637929,3.234820957534844,3.234820957534844,3.234820957534844,0.0,0.0,0.0,13322953.087314589
31,2021-07-10,2663077.296847828,14627623.488842811,17305336.600436237,2440358.371191298,2887087.097291785,0.9047117247836476,0.9047117247836476,0.9047117247836476,4.994047293052722,4.994047293052722,4.994047293052722,0.017405260018911416,0.017405260018911416,0.017405260018911416,4.071930308250165,4.071930308250165,4.071930308250165,0.0,0.0,0.0,15962611.262360884
32,2021-07-11,2735172.0539343613,17030869.68708132,20575329.17876537,2477816.013296487,2993498.3388838023,0.9047117247837901,0.9047117247837901,0.9047117247837901,5.873339100082347,5.873339100082347,5.873339100082347,0.027521308927544917,0.027521308927544917,0.027521308927544917,4.941106066371011,4.941106066371011,4.941106066371011,0.0,0.0,0.0,18799765.02375959
33,2021-07-12,2807266.8110208944,19448825.865673434,23894574.80537547,2516320.3817557157,3091518.532347544,0.9047117247836418,0.9047117247836418,0.9047117247836418,6.729073772420289,6.729073772420289,6.729073772420289,-0.0021402723235601486,-0.0021402723235601486,-0.0021402723235601486,5.826502319960206,5.826502319960206,5.826502319960206,0.0,0.0,0.0,21697572.28124754
34,2021-07-13,2879361.5681074276,21989404.92621373,27423456.60025157,2556319.8681614245,3188041.113263526,0.9047117247837848,0.9047117247837848,0.9047117247837848,7.601977084344599,7.601977084344599,7.601977084344599,-0.013213735892207399,-0.013213735892207399,-0.013213735892207399,6.710479095453016,6.710479095453016,6.710479095453016,0.0,0.0,0.0,24768202.22640262
35,2021-07-14,2951456.3251939607,24582210.757635325,31137823.431864962,2599987.8446782874,3293355.639620806,0.904711724783605,0.904711724783605,0.904711724783605,8.454740647296937,8.454740647296937,8.454740647296937,-0.023947782421534593,-0.023947782421534593,-0.023947782421534593,7.573976704934869,7.573976704934869,7.573976704934869,0.0,0.0,0.0,27905254.086532988
36,2021-07-15,3023551.082280494,27214198.898320634,35001509.639431685,2643816.8480210477,3400341.9037493523,0.9047117247837795,0.9047117247837795,0.9047117247837795,9.293526542383931,9.293526542383931,9.293526542383931,-0.008138745421927943,-0.008138745421927943,-0.008138745421927943,8.396953563022079,8.396953563022079,8.396953563022079,0.0,0.0,0.0,31123003.317707926
37,2021-07-16,3095645.8393670265,29712358.761105534,38795250.68630119,2684988.5782319363,3505773.6687785964,0.9047117247835996,0.9047117247835996,0.9047117247835996,10.0661024787969,10.0661024787969,10.0661024787969,0.0025139671126966382,0.0025139671126966382,0.0025139671126966382,9.158876786900601,9.158876786900601,9.158876786900601,0.0,0.0,0.0,34256734.09649676
38,2021-07-17,3167740.596453559,31958206.770852238,42457362.60661161,2717218.0692984485,3609899.4438778823,0.9047117247837426,0.9047117247837426,0.9047117247837426,10.761369884863011,10.761369884863011,10.761369884863011,0.017405260018948838,0.017405260018948838,0.017405260018948838,9.839252900060318,9.839252900060318,9.839252900060318,0.0,0.0,0.0,37256968.854186885
39,2021-07-18,3239835.3535400927,33921295.40382777,46056106.14154317,2746570.779849512,3729113.3447536104,0.9047117247835623,0.9047117247835623,0.9047117247835623,11.350417346878668,11.350417346878668,11.350417346878668,0.027521308927567493,0.027521308927567493,0.027521308927567493,10.41818431316754,10.41818431316754,10.41818431316754,0.0,0.0,0.0,40013318.75139234
40,2021-07-19,3311930.1106266254,35678142.762345664,49074002.6277517,2791824.5566507876,3840054.3027624,0.9047117247837373,0.9047117247837373,0.9047117247837373,11.779507464876328,11.779507464876328,11.779507464876328,-0.0021402723234739767,-0.0021402723234739767,-0.0021402723234739767,10.876936012416062,10.876936012416062,10.876936012416062,0.0,0.0,0.0,42324835.57190164
41,2021-07-20,3384024.8677131585,36951705.52312599,51847250.659641005,2822897.038242319,3960830.718249463,0.9047117247838798,0.9047117247838798,0.9047117247838798,12.089994081457405,12.089994081457405,12.089994081457405,-0.013213735892209928,-0.013213735892209928,-0.013213735892209928,11.198496092565733,11.198496092565733,11.198496092565733,0.0,0.0,0.0,44296865.48986992
42,2021-07-21,3456119.624799692,37798009.87770949,53714762.25857258,2852921.7022903175,4054287.8177056927,0.9047117247837,0.9047117247837,0.9047117247837,12.248877404325906,12.248877404325906,12.248877404325906,-0.023947782421524382,-0.023947782421524382,-0.023947782421524382,11.36811346196373,11.36811346196373,11.36811346196373,0.0,0.0,0.0,45789705.20365597
43,2021-07-22,3528214.3818862247,38288197.53033648,55457120.439973965,2885239.8077180744,4179018.6489756466,0.904711724783875,0.904711724783875,0.904711724783875,12.270369217817272,12.270369217817272,12.270369217817272,-0.008138745421893578,-0.008138745421893578,-0.008138745421893578,11.373796238455292,11.373796238455292,11.373796238455292,0.0,0.0,0.0,46820707.52724315
44,2021-07-23,3600309.1389727583,38231024.56101954,56159225.28972647,2915287.5323123774,4282393.453792101,0.9047117247836947,0.9047117247836947,0.9047117247836947,12.113980743667375,12.113980743667375,12.113980743667375,0.0025139671126790048,0.0025139671126790048,0.0025139671126790048,11.206755051771,11.206755051771,11.206755051771,0.0,0.0,0.0,47214384.71973842
45,2021-07-24,3672403.896059291,37573373.21469872,56153408.744494714,2939118.101666187,4392512.196535646,0.9047117247838372,0.9047117247838372,0.9047117247838372,11.783893642628115,11.783893642628115,11.783893642628115,0.01740526001895169,0.01740526001895169,0.01740526001895169,10.861776657825324,10.861776657825324,10.861776657825324,0.0,0.0,0.0,46947620.81999509
